epoch,step,train_loss,val_loss
0,49,0.0034413659013807774,
0,99,2.3724136352539062,
0,149,0.4425279200077057,
0,199,2.3502469062805176,
0,249,1.3091533184051514,
0,299,0.7773197293281555,
0,299,,1.1493247747421265
1,349,1.3763874769210815,
1,399,1.3260648250579834,
1,449,1.1546497344970703,
1,499,1.147251009941101,
1,549,1.48147714138031,
1,599,1.076326847076416,
1,599,,1.1225398778915405
2,649,0.7559328675270081,
2,699,1.3635985851287842,
2,749,0.9595829248428345,
2,799,1.62003755569458,
2,849,0.9513430595397949,
2,899,1.5540982484817505,
2,899,,1.1724909543991089
3,949,1.0674986839294434,
3,999,1.0019831657409668,
3,1049,1.4727075099945068,
3,1099,0.8861589431762695,
3,1149,0.6914469599723816,
3,1199,1.0591646432876587,
3,1199,,1.1240613460540771
4,1249,0.655401885509491,
4,1299,1.2015118598937988,
4,1349,1.2816776037216187,
4,1399,1.4547874927520752,
4,1449,1.0755674839019775,
4,1499,1.3014096021652222,
4,1499,,1.149738073348999
5,1549,1.46567964553833,
5,1599,0.8325455188751221,
5,1649,0.8756852149963379,
5,1699,0.7380874156951904,
5,1749,0.9199654459953308,
5,1799,1.0353484153747559,
5,1799,,1.1494885683059692
6,1849,1.0223352909088135,
6,1899,0.8178065419197083,
6,1949,1.3464574813842773,
6,1999,0.8451656103134155,
6,2049,0.9964337944984436,
6,2099,1.119614839553833,
6,2099,,1.1263182163238525
7,2149,1.0732648372650146,
7,2199,0.7505349516868591,
7,2249,1.2543940544128418,
7,2299,1.3898402452468872,
7,2349,1.4529426097869873,
7,2399,1.3094160556793213,
7,2399,,1.1729686260223389
8,2449,1.0630242824554443,
8,2499,1.6891000270843506,
8,2549,0.6538841724395752,
8,2599,1.6594029664993286,
8,2649,0.6223061680793762,
8,2699,0.822364330291748,
8,2699,,1.2705053091049194
9,2749,1.4733494520187378,
9,2799,1.787878394126892,
9,2849,0.7847475409507751,
9,2899,0.33679699897766113,
9,2949,1.743584156036377,
9,2999,1.5379369258880615,
9,2999,,1.289825201034546
10,3049,0.79593425989151,
