                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    107,                0.70022,                0.71514,                 0.4245,                 1.0062,                0.93013,                0.91501,                0.95694,                0.74948,                0.91693,                0.88774,                0.92769,                0.62769,                0.68137,                 0.6867,                 0.4083,                0.96221,              0.0003755,              0.0003755,              0.0003755
                    108,                 0.6937,                0.72575,                0.42109,                 1.0044,                0.93513,                0.92554,                0.95921,                0.74821,                0.90169,                0.88565,                0.91733,                0.65044,                0.67892,                0.69412,                0.40782,                0.96156,             0.00036725,             0.00036725,             0.00036725
                    109,                0.69008,                0.71402,                0.42286,                      1,                0.93462,                0.91854,                0.95708,                0.74714,                0.91843,                0.88656,                0.92908,                0.65562,                0.67405,                0.69547,                0.41344,                0.96141,               0.000359,               0.000359,               0.000359
                    110,                0.68544,                0.71355,                 0.4233,                 1.0025,                0.93593,                0.92133,                0.95966,                0.75645,                0.91357,                0.88637,                0.92634,                0.64479,                0.67156,                0.69037,                0.41113,                0.96218,             0.00035075,             0.00035075,             0.00035075
                    111,                0.68189,                 0.7121,                0.41584,                0.99511,                0.92616,                0.93203,                0.96155,                0.75476,                0.89806,                0.90394,                 0.9255,                0.64275,                 0.6738,                 0.6841,                0.41054,                0.95728,              0.0003425,              0.0003425,              0.0003425
                    112,                0.68442,                0.69997,                0.41561,                 1.0022,                0.93859,                0.93219,                0.96256,                0.75708,                0.91511,                0.89071,                0.92578,                0.64397,                0.68099,                 0.6977,                0.41107,                0.96699,             0.00033425,             0.00033425,             0.00033425
                    113,                0.68324,                0.69826,                0.41219,                 1.0013,                 0.9287,                0.93656,                0.96433,                0.75714,                0.90382,                0.88605,                 0.9227,                0.65534,                0.67731,                0.68998,                0.40882,                0.96847,               0.000326,               0.000326,               0.000326
                    114,                0.67379,                0.69909,                0.41261,                0.99382,                0.93215,                0.92261,                0.96087,                0.76014,                0.90977,                0.88927,                0.93136,                 0.6522,                0.66993,                 0.6873,                0.40621,                0.96189,             0.00031775,             0.00031775,             0.00031775
                    115,                0.67685,                  0.704,                 0.4121,                 0.9954,                0.92377,                0.92256,                0.95807,                0.75868,                 0.9166,                0.88173,                0.93233,                0.65804,                0.67217,                0.68204,                0.40896,                0.96117,              0.0003095,              0.0003095,              0.0003095
                    116,                0.67876,                0.69863,                0.41566,                 1.0002,                 0.9298,                0.92515,                 0.9568,                 0.7603,                0.91156,                 0.8907,                 0.9304,                 0.6573,                0.67066,                 0.6816,                0.41444,                 0.9616,             0.00030125,             0.00030125,             0.00030125
                    117,                0.67338,                0.70098,                0.40845,                0.99769,                0.91415,                0.93458,                0.96064,                0.75871,                0.91797,                0.87859,                0.92267,                0.65059,                0.66552,                0.68146,                0.40429,                0.95781,               0.000293,               0.000293,               0.000293
                    118,                0.66748,                0.69271,                0.40629,                0.99014,                0.92633,                0.92901,                0.96113,                0.76111,                0.91672,                0.88799,                0.93454,                0.65803,                0.66991,                0.68568,                0.40206,                0.96017,             0.00028475,             0.00028475,             0.00028475
                    119,                0.66453,                 0.6917,                0.40202,                0.98602,                0.93397,                0.92848,                0.96014,                 0.7599,                 0.9023,                0.89589,                0.91918,                0.64941,                0.66445,                0.68765,                0.39836,                0.95521,              0.0002765,              0.0002765,              0.0002765
                    120,                0.66299,                0.69286,                0.40694,                0.98796,                0.93023,                0.93235,                 0.9605,                0.75574,                0.91221,                0.89832,                0.92923,                0.65865,                0.66208,                0.68136,                0.40881,                0.95939,             0.00026825,             0.00026825,             0.00026825
                    121,                0.66281,                0.69508,                0.40214,                0.98994,                0.93887,                0.91916,                0.95886,                0.75368,                0.91253,                0.89519,                0.93046,                0.65719,                0.67403,                0.68711,                0.40082,                0.96256,                0.00026,                0.00026,                0.00026
                    122,                0.66197,                0.69182,                 0.4028,                0.98488,                0.94443,                0.91764,                0.96369,                0.76178,                0.92342,                 0.8951,                0.93372,                0.66213,                0.65805,                0.67901,                0.39444,                0.95891,             0.00025175,             0.00025175,             0.00025175
                    123,                0.66248,                0.70134,                0.40298,                0.98866,                0.93515,                0.92886,                0.96153,                 0.7627,                0.91651,                0.89987,                 0.9298,                0.66339,                0.65804,                0.67642,                0.39505,                 0.9568,              0.0002435,              0.0002435,              0.0002435
                    124,                0.65557,                0.67938,                0.39632,                0.98356,                 0.9347,                0.93361,                0.96256,                0.76315,                0.91119,                0.88663,                0.92246,                0.66145,                0.66389,                0.68504,                0.39373,                0.95916,             0.00023525,             0.00023525,             0.00023525
                    125,                0.65512,                0.67925,                0.40245,                0.98445,                0.93658,                0.93187,                0.96317,                0.76311,                0.92032,                  0.904,                0.93842,                0.66168,                0.66196,                0.68006,                0.39565,                0.95624,               0.000227,               0.000227,               0.000227
                    126,                0.65711,                 0.6902,                0.39873,                0.98091,                0.93303,                0.92911,                0.96291,                0.76302,                0.90275,                0.89714,                0.92707,                 0.6577,                0.67179,                0.68387,                0.40042,                0.96353,             0.00021875,             0.00021875,             0.00021875
                    127,                0.64413,                0.67582,                0.38985,                0.97578,                0.94144,                0.93109,                0.96506,                0.76207,                0.91448,                0.89081,                0.92703,                0.65148,                0.66406,                0.67949,                 0.3987,                0.95988,              0.0002105,              0.0002105,              0.0002105
                    128,                 0.6558,                0.67973,                0.39643,                0.98714,                0.93547,                0.92582,                0.96438,                0.76653,                0.91451,                0.89849,                0.93719,                0.66081,                0.66193,                 0.6807,                0.39917,                 0.9616,             0.00020225,             0.00020225,             0.00020225
                    129,                0.64135,                0.67434,                0.39087,                0.97764,                 0.9352,                0.93098,                0.96426,                0.76618,                0.89946,                0.90606,                0.93196,                0.66454,                0.66671,                0.68735,                0.40119,                0.95936,               0.000194,               0.000194,               0.000194
                    130,                0.63892,                0.68168,                0.38859,                0.97628,                0.94475,                0.92567,                0.96377,                0.76354,                0.92333,                0.88177,                 0.9321,                0.66043,                0.66417,                0.68034,                0.39474,                0.96021,             0.00018575,             0.00018575,             0.00018575
                    131,                0.63876,                0.67963,                0.38848,                0.97637,                 0.9316,                0.92441,                0.96038,                0.76117,                0.92058,                 0.8887,                0.93037,                0.65845,                0.66774,                0.67973,                0.39647,                 0.9645,              0.0001775,              0.0001775,              0.0001775
                    132,                0.63219,                0.66811,                0.38407,                0.97501,                0.93414,                0.92882,                0.96173,                0.76293,                0.92285,                  0.895,                0.93489,                0.65771,                0.66484,                0.67776,                0.39538,                0.96343,             0.00016925,             0.00016925,             0.00016925
                    133,                0.63676,                 0.6678,                0.38126,                0.97884,                0.93442,                0.92917,                0.96357,                0.76487,                0.91464,                 0.8987,                0.93889,                0.66195,                0.66241,                 0.6763,                0.39361,                0.96153,               0.000161,               0.000161,               0.000161
                    134,                0.63121,                0.67243,                0.38453,                0.97248,                0.93642,                0.92128,                0.95952,                0.76368,                0.91264,                0.89795,                0.93513,                0.66338,                0.65404,                0.67959,                0.39079,                0.95664,             0.00015275,             0.00015275,             0.00015275
                    135,                 0.6246,                0.66568,                0.37994,                0.96766,                0.92728,                 0.9322,                0.96056,                 0.7631,                0.90409,                0.91004,                 0.9341,                0.66265,                0.65915,                0.67031,                0.38832,                0.95688,              0.0001445,              0.0001445,              0.0001445
                    136,                0.61987,                0.65342,                0.37849,                0.96581,                0.93882,                0.92011,                0.96222,                0.76424,                0.91625,                0.88216,                0.93659,                0.66297,                0.65944,                0.67556,                0.39103,                0.96126,             0.00013625,             0.00013625,             0.00013625
                    137,                0.62234,                0.65525,                0.37741,                  0.969,                0.91836,                0.94098,                0.96167,                0.76485,                0.91372,                0.90294,                0.93855,                0.66214,                0.65494,                0.67462,                0.38815,                0.96258,               0.000128,               0.000128,               0.000128
                    138,                0.61961,                0.65841,                 0.3785,                0.97075,                0.93246,                0.93035,                0.96126,                0.76516,                0.91232,                0.90026,                0.93685,                0.66209,                0.65752,                0.67179,                0.38509,                0.95931,             0.00011975,             0.00011975,             0.00011975
                    139,                0.62384,                0.66516,                0.37883,                0.96765,                0.93695,                0.91904,                0.95953,                0.76668,                0.91771,                0.88994,                 0.9309,                0.66163,                0.65742,                0.66842,                0.38551,                0.95873,              0.0001115,              0.0001115,              0.0001115
                    140,                0.61646,                0.65394,                0.37419,                0.96299,                 0.9415,                0.91974,                0.96358,                0.76645,                0.92173,                0.90029,                0.93554,                0.66519,                0.65477,                0.66738,                0.38787,                0.95652,             0.00010325,             0.00010325,             0.00010325
                    141,                0.61008,                0.64299,                0.36889,                0.94414,                0.93413,                0.93075,                0.96252,                0.76718,                 0.9113,                0.90449,                0.93611,                0.66489,                0.65823,                0.67083,                0.38882,                0.95962,                9.5e-05,                9.5e-05,                9.5e-05
                    142,                0.60062,                0.63217,                0.36296,                0.93611,                 0.9268,                0.93601,                0.96006,                0.76483,                0.90543,                 0.9111,                0.93767,                0.66603,                0.66159,                0.66744,                0.38752,                0.95986,              8.675e-05,              8.675e-05,              8.675e-05
                    143,                0.60066,                0.64341,                0.36284,                0.93908,                0.92115,                0.93563,                0.96074,                0.77088,                0.92459,                0.89308,                0.93919,                0.66207,                 0.6548,                0.67127,                0.38806,                  0.959,               7.85e-05,               7.85e-05,               7.85e-05
                    144,                0.59706,                 0.6399,                0.36199,                 0.9373,                0.94587,                 0.9182,                 0.9611,                0.76851,                  0.926,                0.89657,                0.93918,                0.66334,                0.65547,                0.67217,                0.38844,                0.96063,              7.025e-05,              7.025e-05,              7.025e-05
                    145,                0.59366,                 0.6346,                0.35815,                0.93547,                0.92878,                 0.9297,                0.96179,                 0.7685,                0.92493,                0.89032,                 0.9381,                0.66715,                0.65383,                0.67093,                0.38925,                0.95994,                6.2e-05,                6.2e-05,                6.2e-05
                    146,                0.58785,                0.63641,                0.35364,                0.93268,                0.94448,                0.91939,                0.96294,                0.77008,                0.92389,                0.89501,                0.94023,                0.66805,                0.65369,                0.66887,                 0.3846,                0.96067,              5.375e-05,              5.375e-05,              5.375e-05
                    147,                0.58426,                  0.636,                0.35286,                0.93212,                0.94307,                0.91873,                0.96149,                0.77058,                0.92039,                0.89318,                0.93739,                0.66895,                0.65473,                0.66361,                0.38653,                0.96176,               4.55e-05,               4.55e-05,               4.55e-05
                    148,                0.58228,                0.64117,                0.35124,                0.92914,                0.93952,                0.92183,                0.96207,                0.77078,                0.91872,                0.89339,                0.93905,                0.66959,                0.65402,                0.66774,                0.38548,                0.96088,              3.725e-05,              3.725e-05,              3.725e-05
                    149,                0.57676,                0.62625,                0.35117,                0.92614,                0.93866,                0.92118,                0.96178,                 0.7695,                0.92093,                0.89222,                0.93567,                0.66868,                0.65475,                0.66911,                0.38541,                0.96115,                2.9e-05,                2.9e-05,                2.9e-05
                    150,                0.57707,                0.62899,                0.34973,                0.92613,                0.93053,                0.93698,                0.96302,                0.76943,                0.91981,                0.89502,                0.94014,                0.66648,                0.65637,                0.66558,                0.38457,                0.96177,              2.075e-05,              2.075e-05,              2.075e-05
