                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     24,                 1.0049,                 1.0109,                 0.6483,                 1.1905,                 0.8725,                0.88648,                0.90401,                0.61243,                0.86814,                0.88219,                0.90647,                0.55292,                0.91325,                 1.0396,                0.63472,                 1.0817,              0.0010603,              0.0010603,              0.0010603
                     25,                0.99293,                  1.011,                0.63857,                 1.1791,                0.85266,                0.88184,                0.90583,                0.61276,                0.82141,                0.85192,                0.88059,                0.54985,                0.90295,                 1.0359,                0.63371,                 1.0765,               0.001052,               0.001052,               0.001052
                     26,                0.97282,                0.99579,                0.62494,                 1.1628,                0.85246,                0.89062,                0.92119,                0.62814,                0.84123,                0.83368,                0.88952,                0.55584,                0.90544,                0.90958,                0.60417,                 1.0791,              0.0010438,              0.0010438,              0.0010438
                     27,                0.97551,                 0.9758,                0.62177,                 1.1634,                0.89646,                0.89408,                0.92536,                0.63903,                0.88272,                0.88673,                0.91826,                0.57742,                0.87757,                0.88516,                0.58562,                 1.0536,              0.0010355,              0.0010355,              0.0010355
                     28,                0.95363,                0.98373,                0.61336,                 1.1466,                0.87806,                0.88898,                0.91554,                0.63815,                 0.8507,                0.85538,                0.88119,                0.55382,                0.85876,                0.90084,                0.59298,                 1.0525,              0.0010273,              0.0010273,              0.0010273
                     29,                0.96305,                0.97244,                0.62001,                 1.1556,                 0.8725,                0.89151,                0.91963,                 0.6423,                0.84309,                0.86869,                 0.8817,                0.52247,                0.85623,                0.94632,                0.58957,                  1.032,               0.001019,               0.001019,               0.001019
                     30,                 0.9453,                0.97036,                0.60871,                 1.1438,                 0.8553,                 0.8924,                0.91064,                0.63226,                0.80336,                0.85601,                0.86658,                0.54303,                0.86534,                0.90314,                0.58051,                 1.0463,              0.0010107,              0.0010107,              0.0010107
                     31,                0.94006,                0.95596,                0.60613,                 1.1352,                0.87735,                0.87783,                0.91105,                0.63471,                0.85799,                0.84862,                0.86584,                0.52321,                0.88013,                0.89119,                0.57044,                 1.0752,              0.0010025,              0.0010025,              0.0010025
                     32,                0.93475,                0.94321,                0.59178,                 1.1353,                0.87725,                0.90107,                0.93197,                0.65089,                0.88062,                 0.8902,                0.90809,                0.57801,                0.85418,                0.88328,                0.57574,                  1.042,             0.00099425,             0.00099425,             0.00099425
                     33,                0.93283,                 0.9505,                0.60186,                 1.1378,                0.86734,                0.89552,                0.92493,                0.65896,                0.84662,                0.84806,                0.88752,                0.57126,                0.83523,                0.86031,                0.57154,                 1.0367,               0.000986,               0.000986,               0.000986
                     34,                0.91604,                0.93834,                0.58239,                 1.1239,                0.87645,                0.89709,                0.92896,                0.66296,                0.85121,                0.86564,                0.89611,                0.57084,                 0.8232,                0.86647,                0.55544,                 1.0331,             0.00097775,             0.00097775,             0.00097775
                     35,                0.91778,                0.94035,                0.58463,                 1.1319,                0.91656,                0.89719,                0.93858,                 0.6542,                0.89878,                0.87967,                0.92484,                0.56625,                0.88634,                 0.9388,                0.57206,                  1.072,              0.0009695,              0.0009695,              0.0009695
                     36,                 0.9122,                 0.9312,                0.58473,                  1.128,                0.84304,                0.88692,                0.91626,                0.64271,                0.80165,                0.82673,                0.83674,                0.53982,                0.84555,                0.87815,                0.56269,                 1.0274,             0.00096125,             0.00096125,             0.00096125
                     37,                0.91342,                0.91944,                0.57598,                 1.1295,                0.87781,                0.89646,                0.93065,                0.66546,                0.89424,                0.87323,                0.91791,                0.57904,                 0.8327,                0.86098,                0.55494,                 1.0327,               0.000953,               0.000953,               0.000953
                     38,                0.89803,                0.90862,                0.57031,                 1.1101,                0.86059,                0.90664,                0.93406,                0.67147,                0.83803,                0.87103,                0.88506,                0.57349,                0.78982,                0.83182,                0.53871,                  1.013,             0.00094475,             0.00094475,             0.00094475
                     39,                0.90299,                0.92359,                0.57101,                 1.1135,                 0.8746,                0.90525,                0.93016,                0.66762,                0.88418,                0.90744,                0.93248,                 0.6156,                0.82696,                0.85511,                0.53886,                  1.021,              0.0009365,              0.0009365,              0.0009365
                     40,                0.89345,                0.90554,                0.56612,                 1.1152,                0.88186,                0.90693,                 0.9345,                0.68287,                0.84254,                0.88487,                0.90007,                0.58279,                0.79206,                0.86531,                0.52623,                 1.0111,             0.00092825,             0.00092825,             0.00092825
                     41,                0.89002,                0.91039,                0.56819,                 1.1046,                0.87827,                0.90854,                0.93714,                0.69248,                0.90013,                 0.8778,                 0.9299,                0.60911,                0.77419,                0.82611,                0.53653,                 1.0043,                0.00092,                0.00092,                0.00092
                     42,                0.87527,                0.90563,                0.55845,                 1.1024,                0.90624,                0.91757,                0.94415,                0.68015,                0.89615,                0.88794,                0.93462,                0.61268,                0.82029,                0.82965,                0.54848,                 1.0299,             0.00091175,             0.00091175,             0.00091175
                     43,                 0.8845,                0.89953,                0.55393,                 1.1008,                0.89643,                0.91408,                0.94027,                0.67485,                 0.8655,                0.87108,                0.89017,                0.58751,                0.80455,                0.81183,                0.53176,                 1.0299,              0.0009035,              0.0009035,              0.0009035
                     44,                0.88942,                 0.9071,                0.56065,                 1.1151,                0.88801,                0.91512,                0.94217,                0.67358,                 0.8524,                0.86814,                0.89368,                0.56918,                0.80084,                0.83156,                0.53867,                 1.0204,             0.00089525,             0.00089525,             0.00089525
                     45,                0.88232,                0.89368,                0.55365,                 1.0944,                0.87963,                0.91349,                0.94126,                 0.6948,                0.88286,                0.87171,                0.91998,                0.59766,                 0.7644,                0.80634,                0.53179,                0.99259,               0.000887,               0.000887,               0.000887
                     46,                0.86871,                0.88806,                0.54595,                 1.0938,                0.91611,                 0.9013,                 0.9366,                0.67797,                0.91584,                0.87655,                0.92749,                0.59979,                0.79255,                0.83338,                0.52902,                 1.0083,             0.00087875,             0.00087875,             0.00087875
                     47,                0.85417,                0.87361,                0.53724,                  1.085,                0.89027,                0.91448,                0.94246,                0.68969,                0.87869,                 0.8547,                0.89395,                0.58952,                0.76813,                0.85057,                0.50897,                0.99806,              0.0008705,              0.0008705,              0.0008705
                     48,                0.86125,                0.86742,                0.54347,                 1.0907,                 0.9026,                0.91073,                0.94591,                0.69511,                 0.8607,                0.85381,                0.87653,                0.58046,                0.76939,                0.84278,                0.50381,                  1.004,             0.00086225,             0.00086225,             0.00086225
                     49,                  0.848,                 0.8719,                 0.5365,                 1.0865,                0.91061,                0.91164,                0.94434,                0.68549,                0.85675,                0.86039,                0.87193,                0.58354,                 0.7795,                0.79541,                0.51111,                  1.007,               0.000854,               0.000854,               0.000854
                     50,                 0.8534,                0.87184,                0.53369,                  1.088,                0.89748,                0.90741,                0.94568,                0.68674,                 0.8791,                0.84326,                0.87884,                0.58076,                0.77134,                0.80146,                0.50117,                 1.0079,             0.00084575,             0.00084575,             0.00084575
                     51,                0.86464,                0.86924,                0.54063,                 1.0945,                0.91045,                0.90492,                0.94286,                0.69035,                0.90382,                0.87882,                0.90397,                0.59086,                0.79091,                 0.8037,                0.51443,                 1.0102,              0.0008375,              0.0008375,              0.0008375
                     52,                0.83278,                0.85228,                0.52332,                  1.075,                  0.904,                 0.9231,                0.94976,                0.69488,                0.89423,                0.87538,                0.89854,                0.58284,                  0.777,                0.78672,                0.49987,                0.99581,             0.00082925,             0.00082925,             0.00082925
                     53,                0.83385,                0.86354,                0.52338,                 1.0765,                0.91092,                0.91519,                0.95108,                0.70055,                0.89518,                0.87607,                0.92085,                0.60009,                0.77401,                0.79042,                0.50486,                 1.0054,               0.000821,               0.000821,               0.000821
                     54,                0.83299,                0.85852,                0.52166,                 1.0766,                0.91822,                0.92906,                0.95418,                0.71025,                0.89952,                0.89524,                0.93426,                0.61702,                0.77035,                 0.7827,                0.48713,                0.99823,             0.00081275,             0.00081275,             0.00081275
                     55,                 0.8295,                0.84341,                0.51838,                  1.076,                0.92018,                0.91541,                0.95347,                0.70674,                0.92454,                0.89316,                0.92899,                0.61077,                0.74613,                0.78848,                0.49022,                0.98609,              0.0008045,              0.0008045,              0.0008045
                     56,                0.82258,                0.83322,                0.50892,                 1.0662,                0.90562,                0.92249,                 0.9509,                  0.696,                0.87979,                0.84824,                0.87444,                0.57759,                0.75061,                0.77455,                0.48574,                0.98944,             0.00079625,             0.00079625,             0.00079625
                     57,                0.81898,                0.85858,                0.51209,                 1.0736,                0.92001,                0.92212,                0.94646,                0.69572,                0.88969,                0.88087,                 0.8947,                0.59752,                0.74892,                0.76178,                0.49572,                0.99087,               0.000788,               0.000788,               0.000788
                     58,                0.83587,                 0.8461,                0.52005,                 1.0813,                0.92346,                0.93334,                 0.9569,                0.70959,                0.90028,                 0.8902,                0.92788,                0.60315,                 0.7554,                0.79436,                0.47501,                 1.0051,             0.00077975,             0.00077975,             0.00077975
                     59,                0.81682,                0.83135,                0.50574,                 1.0715,                 0.8996,                0.93152,                0.95427,                0.70902,                0.88557,                 0.8755,                0.90225,                0.60307,                0.76175,                0.79567,                0.48064,                0.99308,              0.0007715,              0.0007715,              0.0007715
                     60,                0.81366,                0.82704,                0.50183,                  1.068,                0.93294,                0.91131,                0.95726,                0.71718,                0.90868,                0.88462,                0.91229,                 0.5988,                0.75354,                0.74995,                0.48614,                 0.9969,             0.00076325,             0.00076325,             0.00076325
                     61,                0.81763,                0.82672,                0.50431,                 1.0677,                0.92595,                0.92256,                0.95286,                0.71102,                0.89433,                0.87628,                 0.9044,                0.59388,                0.74459,                0.77385,                0.48238,                0.98565,               0.000755,               0.000755,               0.000755
                     62,                0.80599,                0.81414,                0.50414,                  1.062,                 0.9209,                0.91848,                 0.9546,                0.71802,                0.93031,                 0.8962,                0.94643,                0.65102,                0.75287,                0.76167,                 0.4745,                0.98491,             0.00074675,             0.00074675,             0.00074675
                     63,                0.79681,                0.82329,                0.49354,                 1.0527,                0.91743,                0.91279,                0.95496,                0.71347,                0.91184,                0.89138,                  0.936,                0.62826,                0.74427,                0.76114,                0.48269,                 0.9835,              0.0007385,              0.0007385,              0.0007385
                     64,                0.80512,                0.82268,                0.50088,                 1.0655,                0.91416,                0.91233,                0.95303,                0.70433,                0.86639,                0.86369,                0.88418,                0.58951,                0.78021,                0.75793,                0.48679,                  1.002,             0.00073025,             0.00073025,             0.00073025
                     65,                0.81086,                0.83626,                0.50264,                 1.0649,                0.92663,                0.91032,                0.95288,                0.72237,                0.92139,                0.89776,                0.93777,                0.62084,                0.73142,                0.75938,                0.46863,                0.98439,               0.000722,               0.000722,               0.000722
                     66,                0.79866,                0.81639,                0.49366,                 1.0501,                0.91426,                 0.9142,                0.95251,                0.72262,                0.90722,                0.87065,                0.91899,                 0.6139,                0.72465,                0.75337,                 0.4615,                0.98272,             0.00071375,             0.00071375,             0.00071375
                     67,                0.79796,                 0.8142,                0.49631,                 1.0566,                0.90309,                0.93271,                0.95694,                 0.7287,                0.87592,                0.88138,                0.91425,                 0.6206,                0.71822,                0.74921,                0.47058,                0.97828,              0.0007055,              0.0007055,              0.0007055
                     68,                0.79504,                0.80873,                 0.4909,                 1.0529,                0.92473,                0.90883,                0.95445,                0.72665,                0.88955,                0.88217,                0.92296,                0.61302,                0.71527,                 0.7595,                0.45612,                0.97748,             0.00069725,             0.00069725,             0.00069725
                     69,                0.78584,                0.80697,                0.48601,                 1.0481,                 0.9253,                0.91821,                 0.9568,                0.72768,                0.91744,                0.89265,                0.92965,                0.64209,                0.71492,                0.74183,                0.45675,                0.97414,               0.000689,               0.000689,               0.000689
                     70,                0.79162,                0.80938,                0.49584,                 1.0492,                0.92009,                0.91535,                0.95259,                0.70691,                0.89452,                0.88625,                0.91898,                0.60574,                0.74066,                0.76715,                0.47562,                0.97831,             0.00068075,             0.00068075,             0.00068075
